
2460615.500000000, A.D. 2024-Nov-01 00:00:00.0000,  2.109525245528529E-03,  6.784327794268911E+03,  5.163761063862339E+01,  3.570643598153779E+02,  1.288584879312106E+02,  2.460615491108839E+06,  6.452909846130564E-02,  4.957101275658882E+01,  4.975533787322914E+01,  6.798669759763143E+03,  6.813011725257375E+03,  5.578878499532597E+03,
2460615.541666667, A.D. 2024-Nov-01 01:00:00.0000,  1.897464027016973E-03,  6.778431213855991E+03,  5.161181534516070E+01,  3.568834250438082E+02,  1.129885131229488E+02,  2.460615552723595E+06,  6.463391540559356E-02,  2.982540181239689E+02,  2.980622753901864E+02,  6.791317494497852E+03,  6.804203775139713E+03,  5.569831221594922E+03,
2460615.583333333, A.D. 2024-Nov-01 02:00:00.0000,  2.220910029454883E-03,  6.772388232878241E+03,  5.159716928675073E+01,  3.566396163048823E+02,  1.097748536087984E+02,  2.460615552160828E+06,  6.468898616488707E-02,  1.742271342765557E+02,  1.742526624255775E+02,  6.787462576589138E+03,  6.802536920300035E+03,  5.565089535989770E+03,
2460615.625000000, A.D. 2024-Nov-01 03:00:00.0000,  2.271575524966837E-03,  6.781469549363552E+03,  5.162717367486157E+01,  3.564267821827493E+02,  1.157049950858032E+02,  2.460615617633829E+06,  6.455417132309982E-02,  4.108467568990488E+01,  4.125610683261828E+01,  6.796909242043198E+03,  6.812348934722844E+03,  5.576711661252152E+03,
2460615.666666667, A.D. 2024-Nov-01 04:00:00.0000,  2.039516318955653E-03,  6.781439063549287E+03,  5.162165234253384E+01,  3.562596027404967E+02,  9.676421030876620E+01,  2.460615678701670E+06,  6.457712983228671E-02,  2.928511304474666E+02,  2.926355485533338E+02,  6.795298185089950E+03,  6.809157306630612E+03,  5.574729024578146E+03,
2460615.708333333, A.D. 2024-Nov-01 05:00:00.0000,  2.217232285825803E-03,  6.772106025862220E+03,  5.158737681144281E+01,  3.560340377994897E+02,  9.885729165936073E+01,  2.460615679076844E+06,  6.469338746476469E-02,  1.635294037328913E+02,  1.636012492245798E+02,  6.787154724446158E+03,  6.802203423030096E+03,  5.564710924993290E+03,
2460615.750000000, A.D. 2024-Nov-01 06:00:00.0000,  1.976241842497706E-03,  6.779832752672080E+03,  5.160589835375171E+01,  3.557959996862708E+02,  1.017487405734446E+02,  2.460615744017542E+06,  6.460622501435699E-02,  3.339394685042825E+01,  3.351884657519361E+01,  6.793257873127833E+03,  6.806682993583585E+03,  5.572218465325899E+03,
2460615.791666667, A.D. 2024-Nov-01 07:00:00.0000,  1.855569939039291E-03,  6.786435940255868E+03,  5.162401093600671E+01,  3.556223059238046E+02,  7.878198846536034E+01,  2.460615804370869E+06,  6.452365602452731E-02,  2.891760547670161E+02,  2.889750675966656E+02,  6.799052056866553E+03,  6.811668173477238E+03,  5.579349066382004E+03,
2460615.833333333, A.D. 2024-Nov-01 08:00:00.0000,  1.657167140003033E-03,  6.779055864896206E+03,  5.159375481373259E+01,  3.554310430214300E+02,  9.717525782047879E+01,  2.460615807626180E+06,  6.464832160638283E-02,  1.435902602035665E+02,  1.437027871900985E+02,  6.790308541080968E+03,  6.801561217265730E+03,  5.568590043093348E+03,
2460615.875000000, A.D. 2024-Nov-01 09:00:00.0000,  1.475829900972823E-03,  6.779402595997784E+03,  5.159011230189117E+01,  3.551847652917979E+02,  9.837992751913210E+01,  2.460615872287401E+06,  6.466097539274251E-02,  1.515449667014551E+01,  1.519878671633191E+01,  6.789422628923891E+03,  6.799442661849998E+03,  5.567500301586945E+03,
2460615.916666667, A.D. 2024-Nov-01 10:00:00.0000,  1.319085638436119E-03,  6.789320767863575E+03,  5.162027575705958E+01,  3.549853619888045E+02,  7.906785958610426E+01,  2.460615933295651E+06,  6.453452984962975E-02,  2.672803860248092E+02,  2.671294121798202E+02,  6.798288292315919E+03,  6.807255816768262E+03,  5.578408967088266E+03,
2460615.958333333, A.D. 2024-Nov-01 11:00:00.0000,  1.367896936821484E-03,  6.783790102896144E+03,  5.160492985357297E+01,  3.548152249521809E+02,  1.098200120579606E+02,  2.460615938742577E+06,  6.460872917438286E-02,  1.093594073042249E+02,  1.095072098386914E+02,  6.793082339419812E+03,  6.802374575943481E+03,  5.572002492547691E+03,
2460616.000000000, A.D. 2024-Nov-01 12:00:00.0000,  1.093043786330844E-03,  6.779223732106499E+03,  5.158111730662269E+01,  3.545805763863802E+02,  1.156071551620322E+02,  2.460616004231495E+06,  6.470072133886105E-02,  3.363453427035874E+02,  3.362950251167699E+02,  6.786641828787509E+03,  6.794059925468518E+03,  5.564080160939009E+03,
2460616.041666667, A.D. 2024-Nov-01 13:00:00.0000,  1.231984623905381E-03,  6.786246106049017E+03,  5.160628519935226E+01,  3.543504676538112E+02,  1.079741220752609E+02,  2.460616067336112E+06,  6.458684164651363E-02,  2.167567150445859E+02,  2.166723374306115E+02,  6.794616969680989E+03,  6.802987833312962E+03,  5.573890761995987E+03,
2460616.083333333, A.D. 2024-Nov-01 14:00:00.0000,  1.654179283692266E-03,  6.786072457272947E+03,  5.161297208861819E+01,  3.541840740049610E+02,  1.323507059186522E+02,  2.460616071640859E+06,  6.454837070469324E-02,  6.520868571745174E+01,  6.538092058098738E+01,  6.797316437308242E+03,  6.808560417343537E+03,  5.577212810637601E+03,
